,name_family,name,url,alternate_url,area.id,area.name,address.raw,address.metro.station_name,type.name,schedule.name,employer,snippet.requirement,snippet.responsibility,salary.currency,salary.from,salary.to,key_skills,experience,employment,Название_региона,tech_adress
541,Иван,Аналитик - Методист,https://api.hh.ru/vacancies/47181025?host=hh.ru,https://hh.ru/vacancy/47181025,2,Санкт-Петербург,"Санкт-Петербург, улица Жукова, 19",unknow,Открытая,Полный день,СМ-Клиника,Знание функциональности типовой конфигурации 1С:ERP 2.4. Опыт 2-х положительных внедрений типовых конфигурация 1С:ERP 2...,"Участие в проектах по внедрению программных продуктов 1С ERP, сопровождение типовых конфигураций ЗУП 3.1, БП 3.0. ",RUR,110000.0,110000.0,"['Проектная документация', 'Управление проектами', '1С: Предприятие 8', '1С программирование']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, улица Жукова, 19"
542,Иван,Ведущий специалист по аналитике,https://api.hh.ru/vacancies/46565685?host=hh.ru,https://hh.ru/vacancy/46565685,2,Санкт-Петербург,"Санкт-Петербург, проспект Обуховской Обороны, 70к2",Елизаровская,Открытая,Полный день,«ПИТ-ПРОДУКТ»,"Образование высшее (техническое/экономическое/математическое ). Опыт работы не менее 3х лет в маркетинговых, аналитических или плановых подразделениях службы продаж...",Корректность и своевременность предоставления аналитической информации и маркетинговых инсайтов. Создание ежемесячных отчетов и презентаций аналитики на данных NielsenIQ и внутренних...,RUR,85000.0,85000.0,"['MS PowerPoint', 'Аналитические исследования', 'Маркетинговые исследования', 'Аналитическое мышление', 'Статистический анализ']",От 3 до 6 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, проспект Обуховской Обороны, 70к2"
543,Иван,Ведущий специалист по аналитике,https://api.hh.ru/vacancies/46565685?host=hh.ru,https://hh.ru/vacancy/46565685,2,Санкт-Петербург,"Санкт-Петербург, проспект Обуховской Обороны, 70к2",Елизаровская,Открытая,Полный день,«ПИТ-ПРОДУКТ»,"...маркетинга (в крупных FMCG компаниях, или Retail сетях) на позиции <highlighttext>Аналитика</highlighttext>, Специалиста по анализу, исследованиям. Желательно знание английского языка. ",Создание ежемесячных отчетов и презентаций  аналитики</highlighttext> на  данных</highlighttext> NielsenIQ и внутренних  данных</highlighttext> продаж категории Ready-to-eat. Обзор всех сегментов...,RUR,85000.0,85000.0,"['MS PowerPoint', 'Аналитические исследования', 'Маркетинговые исследования', 'Аналитическое мышление', 'Статистический анализ']",От 3 до 6 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, проспект Обуховской Обороны, 70к2"
544,Иван,Ведущий специалист по аналитике,https://api.hh.ru/vacancies/46565685?host=hh.ru,https://hh.ru/vacancy/46565685,2,Санкт-Петербург,"Санкт-Петербург, проспект Обуховской Обороны, 70к2",Елизаровская,Открытая,Полный день,«ПИТ-ПРОДУКТ»,"...в крупных FMCG компаниях, или Retail сетях) на позиции <highlighttext>Аналитика</highlighttext>, Специалиста <highlighttext>по</highlighttext> анализу, исследованиям. Желательно знание английского языка. ","Взаимодействие с NielsenIQ  по</highlighttext> техническим вопросам с базами данных, их наполнению. Подготовка NPD отчётов и  аналитики</highlighttext>  по</highlighttext> нашим новым запускам...",RUR,85000.0,85000.0,"['MS PowerPoint', 'Аналитические исследования', 'Маркетинговые исследования', 'Аналитическое мышление', 'Статистический анализ']",От 3 до 6 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, проспект Обуховской Обороны, 70к2"
545,Иван,Таможенный аналитик,https://api.hh.ru/vacancies/47125180?host=hh.ru,https://hh.ru/vacancy/47125180,2,Санкт-Петербург,unknow,Пионерская,Открытая,Полный день,"АТВ (Art of transport business), транспортная компания",Умение аргументированно обосновать свою работу и взвешенно оценивать риски потенциальных таможенных споров. Опыт работы на аналогичной должности более 3 лет...,"Классификация товаров в соответствии с ТН ВЭД ЕАЭС (подбор кодов ТН ВЭД); Преимущественно XV, XVI, XVIII разделы. Проверка мер тарифного...",RUR,70000.0,70000.0,"['Работа с большим объемом информации', 'ВЭД-Инфо', 'Грамотная речь', 'Коды ТН ВЭД', 'Таможенное оформление']",От 3 до 6 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург АТВ (Art of transport business), транспортная компания"
546,Иван,Системный аналитик,https://api.hh.ru/vacancies/47176517?host=hh.ru,https://hh.ru/vacancy/47176517,2,Санкт-Петербург,"Санкт-Петербург, Стародеревенская улица, 11к2",Беговая,Открытая,Полный день,Это элементарно,Опыт работы системным аналитиком/разработчиком от 1 года. Грамотная устная и письменная речь. Системное мышление и хорошие коммуникативные навыки. ,"Сбор, анализ, описание и согласование требований с Заказчиком. Декомпозиция требований, оценка и постановка задач разработчикам. Разработка и актуализация проектной документации.",RUR,90000.0,110000.0,"['UML', 'Scrum', 'Agile Project Management', 'SQL', 'Atlassian Jira']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, Стародеревенская улица, 11к2"
547,Иван,Системный аналитик,https://api.hh.ru/vacancies/47176517?host=hh.ru,https://hh.ru/vacancy/47176517,2,Санкт-Петербург,"Санкт-Петербург, Стародеревенская улица, 11к2",Беговая,Открытая,Полный день,Это элементарно,"Понимание принципов работы с интеграциями (REST, SOAP). Понимание принципов проектирования и разработки баз <highlighttext>данных</highlighttext>. Знание SQL. Знание UML (use case...","Сбор, анализ, описание и согласование требований с Заказчиком. Декомпозиция требований, оценка и постановка задач разработчикам. Разработка и актуализация проектной документации.",RUR,90000.0,110000.0,"['UML', 'Scrum', 'Agile Project Management', 'SQL', 'Atlassian Jira']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, Стародеревенская улица, 11к2"
548,Иван,SQL разработчик/ аналитик БД,https://api.hh.ru/vacancies/43543924?host=hh.ru,https://hh.ru/vacancy/43543924,2,Санкт-Петербург,"Санкт-Петербург, улица Марата, 51",Лиговский проспект,Открытая,Удаленная работа,BIV,"Общие знания о теории баз данных и методологиях проектирования. Опыт работы с одной из промышленных СУБД (MSSQL Server, ORACLE и...","Участие в проекте развития Хранилища данных (DWH). Наращивание функциональности Хранилища, рефакторинг существующей модели, доработка имеющейся модели. Контроль загрузки данных из...",RUR,120000.0,120000.0,"['MS SQL', 'MS SQL Server', 'SQL', 'Visual Studio C#', 'SQL Server']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, улица Марата, 51"
549,Иван,SQL разработчик/ аналитик БД,https://api.hh.ru/vacancies/43543924?host=hh.ru,https://hh.ru/vacancy/43543924,2,Санкт-Петербург,"Санкт-Петербург, улица Марата, 51",Лиговский проспект,Открытая,Удаленная работа,BIV,"...баз <highlighttext>данных</highlighttext> и методологиях проектирования. Опыт работы с одной из промышленных СУБД (MSSQL Server, ORACLE и др.) либо хранилищ <highlighttext>данных</highlighttext>...","... данных</highlighttext> (DWH). Наращивание функциональности Хранилища, рефакторинг существующей модели, доработка имеющейся модели. Контроль загрузки  данных</highlighttext> из различных источников. Управления качеством  данных</highlighttext>...",RUR,120000.0,120000.0,"['MS SQL', 'MS SQL Server', 'SQL', 'Visual Studio C#', 'SQL Server']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, улица Марата, 51"
550,Иван,Технический писатель / Аналитик,https://api.hh.ru/vacancies/47143181?host=hh.ru,https://hh.ru/vacancy/47143181,2,Санкт-Петербург,"Санкт-Петербург, улица Академика Павлова, 14А",Петроградская,Открытая,Полный день,"Концерн радиостроения Вега, филиал в г. Санкт-Петербург","Умение структурировать информацию и свои мысли, знание ИТ-терминологии и современных технологий. Опыт составления и анализа Use case. ","Анализ входящих требований от клиентов компании совместно с проектными менеджерами и специалистами поддержки, сбор и формализация требований. Подготовка инструкций пользователя...",RUR,70000.0,90000.0,"['Грамотность', 'Техническая документация', 'Разработка инструкций', 'Анализ требований', 'Проектирование пользовательских интерфейсов', 'Базы данных', 'Axure RP', 'SQL', 'UML', 'Сбор и анализ информации', 'Разработка технической документации', 'Use Case Analysis', 'Balsamiq', 'Английский язык', 'Axure', 'Unix', 'ЕСПД', 'Ведение переговоров', 'Работа в команде', 'Разработка технических заданий']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, улица Академика Павлова, 14А"
551,Иван,Технический писатель / Аналитик,https://api.hh.ru/vacancies/47143181?host=hh.ru,https://hh.ru/vacancy/47143181,2,Санкт-Петербург,"Санкт-Петербург, улица Академика Павлова, 14А",Петроградская,Открытая,Полный день,"Концерн радиостроения Вега, филиал в г. Санкт-Петербург","Умение структурировать информацию и свои мысли, знание ИТ-терминологии и современных технологий. Опыт составления и анализа Use case. ",Возможно привлечение на проекты в качестве  аналитика</highlighttext> (сбор и детализация требований и т.п.). Сбор информации для формирования требований по...,RUR,70000.0,90000.0,"['Грамотность', 'Техническая документация', 'Разработка инструкций', 'Анализ требований', 'Проектирование пользовательских интерфейсов', 'Базы данных', 'Axure RP', 'SQL', 'UML', 'Сбор и анализ информации', 'Разработка технической документации', 'Use Case Analysis', 'Balsamiq', 'Английский язык', 'Axure', 'Unix', 'ЕСПД', 'Ведение переговоров', 'Работа в команде', 'Разработка технических заданий']",От 1 года до 3 лет,Полная занятость,Санкт-Петербург,"Санкт-Петербург, улица Академика Павлова, 14А"
