,name_family,name,url,alternate_url,area.id,area.name,address.raw,address.metro.station_name,type.name,schedule.name,employer,snippet.requirement,snippet.responsibility,salary.currency,salary.from,salary.to,key_skills,experience,employment,Название_региона,tech_address,score_similarity,lat,lon
902,Иван,Менеджер (аналитик),https://api.hh.ru/vacancies/45105111?host=hh.ru,https://hh.ru/vacancy/45105111,4,Новосибирск,"Новосибирск, Советская улица, 77А",unknow,Открытая,Полный день,МБУ Молодежный Центр Пионер,высшее образование. – ты общительный и любознательный. – с компьютером и программой Word и Excel «на ты».,Анализировать эффективность проектов. Разрабатывать программу деятельности центра. Создавать внутренние нормативные документы. Анализировать и выявлять приоритетные направления деятельности. Разрабатывать рекомендации для...,RUR,22000.0,22000.0,"['Деловое общение', 'Обучение и развитие', 'Аналитическое мышление', 'Сбор и анализ информации', 'Пользователь ПК', 'Работа с большим объемом информации', 'Грамотная речь', 'Делопроизводство', 'Работа в команде']",Нет опыта,Полная занятость,Новосибирская область,"Новосибирск, Советская улица, 77А",0.016406171858219746,55.0388198,82.913648
903,Иван,Начинающий аналитик данных в Excel,https://api.hh.ru/vacancies/46844329?host=hh.ru,https://hh.ru/vacancy/46844329,4,Новосибирск,"Новосибирск, улица Дуси Ковальчук, 258/2",Заельцовская,Открытая,Сменный график,Ростелеком,"Высшее образование (экономика\бух.учет). Рассмотрим выпускников без опыта работы. Уверенное владение Excel (Сводные таблицы, ВПР) работа в электронном формате. ",Работа с реестрами баз данных в Excel. Формирование выборки абонентов для массовой отправки уведомлений. Составление отчетности в Excel. ,RUR,20000.0,20000.0,"['MS OfficeMS', 'Outlook', 'Работа с большим объемом информации', 'Работа с базами данных', 'MS Excel']",Нет опыта,Полная занятость,Новосибирская область,"Новосибирск, улица Дуси Ковальчук, 258/2",0.04115903946040905,55.057172,82.9085539
904,Иван,Начинающий аналитик данных в Excel,https://api.hh.ru/vacancies/46844329?host=hh.ru,https://hh.ru/vacancy/46844329,4,Новосибирск,"Новосибирск, улица Дуси Ковальчук, 258/2",Заельцовская,Открытая,Сменный график,Ростелеком,"Высшее образование (экономика\бух.учет). Рассмотрим выпускников без опыта работы. Уверенное владение Excel (Сводные таблицы, ВПР) работа в электронном формате. ",Работа с реестрами баз  данных</highlighttext> в Excel. Формирование выборки абонентов для массовой отправки уведомлений. Составление отчетности в Excel. ,RUR,20000.0,20000.0,"['MS OfficeMS', 'Outlook', 'Работа с большим объемом информации', 'Работа с базами данных', 'MS Excel']",Нет опыта,Полная занятость,Новосибирская область,"Новосибирск, улица Дуси Ковальчук, 258/2",0.04115903946040905,55.057172,82.9085539
905,Иван,Финансовый аналитик,https://api.hh.ru/vacancies/46907283?host=hh.ru,https://hh.ru/vacancy/46907283,4,Новосибирск,"Новосибирск, улица Фрунзе, 232",Березовая роща,Открытая,Полный день,ГиД франчайзи Макдоналдс в России,"Высшее экономическое/финансовое образование и соответствующая квалификация по диплому. Продвинутое знание MS Excel (работа со сводными таблицами, диаграммами сложными функциями...","Составление и своевременное предоставление финансовой отчетности. Сбор, обработка и анализ данных, необходимых для управленческого учета. Ведение оперативного учета, подготовка расчетов...",RUR,35000.0,40000.0,"['Бухгалтерский учет', 'Анализ данных', 'Работа с большим объемом информации', 'Финансовое планирование', 'Аналитическое мышление', '1C: Бухгалтерия', 'Финансовый анализ']",От 1 года до 3 лет,Полная занятость,Новосибирская область,"Новосибирск, улица Фрунзе, 232",0.03873664905716343,55.039342,82.955561
906,Иван,Финансовый аналитик,https://api.hh.ru/vacancies/46907283?host=hh.ru,https://hh.ru/vacancy/46907283,4,Новосибирск,"Новосибирск, улица Фрунзе, 232",Березовая роща,Открытая,Полный день,ГиД франчайзи Макдоналдс в России,"Высшее экономическое/финансовое образование и соответствующая квалификация по диплому. Продвинутое знание MS Excel (работа со сводными таблицами, диаграммами сложными функциями...","Составление и своевременное предоставление финансовой отчетности. Сбор, обработка и анализ  данных</highlighttext>, необходимых для управленческого учета. Ведение оперативного учета, подготовка расчетов...",RUR,35000.0,40000.0,"['Бухгалтерский учет', 'Анализ данных', 'Работа с большим объемом информации', 'Финансовое планирование', 'Аналитическое мышление', '1C: Бухгалтерия', 'Финансовый анализ']",От 1 года до 3 лет,Полная занятость,Новосибирская область,"Новосибирск, улица Фрунзе, 232",0.03873664905716343,55.039342,82.955561
907,Иван,Инвестиционный аналитик,https://api.hh.ru/vacancies/46969673?host=hh.ru,https://hh.ru/vacancy/46969673,4,Новосибирск,"Новосибирск, Электрозаводской проезд, 1А",unknow,Открытая,Полный день,Партнёрская сеть магазинов Бренда Монро,"Высшее образование (выпускник ведущих Вузов: НГУ, ТГУ, НГТУ...). Знание MS Excel на высоком уровне (Сводные таблицы, логические функции, обработка больших...","Осуществление регулирования процессов распределения и перераспределение инвестиций. Участие в покупке и продаже акций, ценных бумаг. Финансовый контроль, учет и анализ...",RUR,100000.0,100000.0,"['Английский язык', 'Работа с большим объемом информации', 'MS PowerPoint', 'Анализ данных', 'Деловая переписка', 'Анализ рынка', 'Excel', 'Аналитическое мышление', 'Инвестиционная деятельность', 'Инвестиционные риски', 'Удаленная работа']",Нет опыта,Полная занятость,Новосибирская область,"Новосибирск, Электрозаводской проезд, 1А",0.03148070443074518,55.060998,82.9685499
908,Иван,Инвестиционный аналитик,https://api.hh.ru/vacancies/46969673?host=hh.ru,https://hh.ru/vacancy/46969673,4,Новосибирск,"Новосибирск, Электрозаводской проезд, 1А",unknow,Открытая,Полный день,Партнёрская сеть магазинов Бренда Монро,"Знание MS Excel на высоком уровне (Сводные таблицы, логические функции, обработка больших массивов <highlighttext>данных</highlighttext>). Умение самостоятельно работать с поставленными задачами...","Осуществление регулирования процессов распределения и перераспределение инвестиций. Участие в покупке и продаже акций, ценных бумаг. Финансовый контроль, учет и анализ...",RUR,100000.0,100000.0,"['Английский язык', 'Работа с большим объемом информации', 'MS PowerPoint', 'Анализ данных', 'Деловая переписка', 'Анализ рынка', 'Excel', 'Аналитическое мышление', 'Инвестиционная деятельность', 'Инвестиционные риски', 'Удаленная работа']",Нет опыта,Полная занятость,Новосибирская область,"Новосибирск, Электрозаводской проезд, 1А",0.03148070443074518,55.060998,82.9685499
909,Иван,Маркетолог-аналитик,https://api.hh.ru/vacancies/46883172?host=hh.ru,https://hh.ru/vacancy/46883172,4,Новосибирск,"Новосибирск, улица Сакко и Ванцетти, 77",unknow,Открытая,Удаленная работа,Академия продаж Eval sale,Для этого нужно хорошо знать теорию маркетинга. Уметь ставить четкие ТЗ подрядчикам по созданию сайтов. Сотрудник с опытом подобной работы.,"Мы подписываем с ним договор на упаковку и начинаем. 1. Делать анализ рынка на предмет того, какой объем рынка в...",RUR,70000.0,120000.0,"['Анализ рынка', 'Активные продажи', 'Маркетинговый анализ', 'Клиентоориентированность', 'Управление отношениями с клиентами', 'Составление бизнес-плана', 'Анализ конкурентной среды', 'Проведение опросов', 'Нейминг', 'Маркетинговые коммуникации', 'Продвижение бренда']",От 1 года до 3 лет,Полная занятость,Новосибирская область,"Новосибирск, улица Сакко и Ванцетти, 77",0.01516642531750313,55.02073540000001,82.9467241
910,Иван,Специалист-аналитик (Академгородок),https://api.hh.ru/vacancies/47049880?host=hh.ru,https://hh.ru/vacancy/47049880,4,Новосибирск,"Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Коптюга, 4",unknow,Открытая,Полный день,Максимус,"Желание работать и достигать результата. Аналитический склад ума, умение и желание работать с большими и разнообразными потоками информации, внимательность, дотошность...","Оптимизировать счета для клиентов с целью увеличения прибыли компании. Производить аналитические расчеты, которые помогают компании выигрывать аукционы. Составлять технические задания...",RUR,35000.0,35000.0,"['Аналитическое мышление', 'Разработка технических заданий', 'Работа с большим объемом информации', 'Аналитические исследования', 'Грамотная устная и письменная речь', 'Продвинутый пользователь ПК', 'Ориентация на результат', 'Анализ данных', 'Аналитика']",Нет опыта,Полная занятость,Новосибирская область,"Новосибирск, Советский район, микрорайон Академгородок, проспект Академика Коптюга, 4",0.03416386728787923,54.846359,83.10409899999999
911,Иван,Социолог-аналитик,https://api.hh.ru/vacancies/47079742?host=hh.ru,https://hh.ru/vacancy/47079742,4,Новосибирск,unknow,unknow,Открытая,Удаленная работа,ВЦИОМ,"Высшее образование (желательно по специальности социология, политология). Опыт реализации социологических исследований социально-политического характера, участие в различных этапах исследований (не...","Разработка инструментария для количественного исследования (анкета). Разработка инструментария для качественного исследования (гайд). Оформление полученных данных (количественных, качественных) для сдачи заказчику. ",RUR,70000.0,86500.0,"['SPSS', 'Социологические исследования', 'Статистический анализ', 'Работа в команде', 'Организация и проведение фокус групп', 'качественные исследования', 'количественные исследования', 'Анализ данных', 'Подготовка презентаций', 'Аналитические способности', 'Написание аналитических отчетов']",От 3 до 6 лет,Полная занятость,Новосибирская область,Новосибирск ВЦИОМ,0.04393457550537329,55.73969169999999,37.5884057
912,Иван,Социолог-аналитик,https://api.hh.ru/vacancies/47079742?host=hh.ru,https://hh.ru/vacancy/47079742,4,Новосибирск,unknow,unknow,Открытая,Удаленная работа,ВЦИОМ,Уверенное владение инструментами статистической обработки и анализа <highlighttext>данных</highlighttext> (SPSS). Наличие опыта разработки инструментария для количественных и качественных исследований (не менее...,"Разработка инструментария для качественного исследования (гайд). Оформление полученных  данных</highlighttext> (количественных, качественных) для сдачи заказчику. Написание отчетов по количественным и качественным...",RUR,70000.0,86500.0,"['SPSS', 'Социологические исследования', 'Статистический анализ', 'Работа в команде', 'Организация и проведение фокус групп', 'качественные исследования', 'количественные исследования', 'Анализ данных', 'Подготовка презентаций', 'Аналитические способности', 'Написание аналитических отчетов']",От 3 до 6 лет,Полная занятость,Новосибирская область,Новосибирск ВЦИОМ,0.04393457550537329,55.73969169999999,37.5884057
