link,city,type_of_house,rooms,house
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"101,8 м², 2-комнатная квартира
5 этаж из 5
Печатников переулок, 19с1
Сретенский бульвар 
6 мин.
52 936 000 ₽
520 000 ₽ за м²
Хорошая цена!
Квартира свободной планировки площадью 101,8 кв. м, расположена на мансардном этаже дома с подземным паркингом. Отлично планируется как гостиная-кухня-столовая, спальня с гардеробной комнатой, небольшой кабинет, ванная комната. Есть возможность
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"65,2 м², 2-комнатные апартаменты
новостройка, Апарт-комплекс «Level Стрешнево» 2022 г., 2 этаж из 25
Волоколамское ш., 81
Тушинская 
13 мин.
15 892 830 ₽
243 755 ₽ за м²
ипотека
Условный номер 2-6. На живописной стрелке Москвы-реки и Сходни продаются 3-к апартаменты без отделки площадью 65,2 кв. м. на 2 этаже 25 этажного корпуса «Юг» апартаментного комплекса бизнес-класса Level Стрешнево от компании Level Group. Отличная
Показать телефон
В избранное
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"53,5 м², 2-комнатная квартира
8 этаж из 16
2-я улица Марьиной Рощи, 22
Марьина роща 
6 мин.
19 000 000 ₽
355 140 ₽ за м²
ипотека
2 комнатная квартира 53,5 кв.м. в г. Москва ул. 2-я Марьиной Рощи д. 22. Квартира расположена на 8 этаже 16 этажного дома. В квартире выполнен дизайнерский ремонт. Заменены все окна на стеклопакеты, доставленные из Германии, двери производство
Снято 22 часа назад
вчера"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"56,2 м², 2-комнатная квартира
2 этаж из 17
Филёвский бульвар, 40
Фили 
14 мин.
14 500 000 ₽
258 007 ₽ за м²
Хорошая цена!
Лот 63158. Уютная квартира в экологически чистом районе Москвы Филёвский Парк. Спланировано: кухня, гостиная, спальня, 1 совмещенный с/у. Общая площадь 56.2 кв. м. Квартира просторная и светлая, полностью меблирована и оборудована бытовой техникой.
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"41,8 м², 2-комнатная квартира
новостройка, ЖК «balance» 3 кв. 2021 г., 6 этаж из 30
Рязанский проспект, с26к2
Окская 
16 мин.
13 226 899 ₽
316 433 ₽ за м²
ипотека
Продается 2-комн. квартира площадью 41,8 кв.м на 6 этаже 30 этажного дома в ЖК Balance. Локация Прогрессивные жилые кварталы расположены на Рязанском проспекте. В 15 минутах пешком метро «Рязанский проспект», в трех минутах станция «Окская улица».
Показать телефон
В избранное
Главстрой
6 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"77 м², 2-комнатная квартира
новостройка, Дом «Достижение» 2023 г., 20 этаж из 21
улица Академика Королёва, 21
Бутырская 
12 мин.
36 470 000 ₽
473 636 ₽ за м²
ипотека
Выдающийся дом «Достижение» располагается в окружении 651 га парков: «Останкино», «Дубовая роща», ВДНХ и Ботанический сад. Архитектура «Достижения» современное прочтение торжественного и изящного стиля ар-деко. Внутренняя территория дома
Показать телефон
В избранное
Sminex
6 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"55 м², 2-комнатная квартира
новостройка, ЖК «Вестердам» 2022 г., 14 этаж из 29
ЗАО, район Очаково-Матвеевское, жилой комплекс Вестердам
Кунцевская 
17 мин.
18 838 220 ₽
342 700 ₽ за м²
Жилой комплекс комфорт-класса ""Вестердам"" расположится на участке площадью около 10 га, из которых 4 га займет яблоневый сад с прогулочными дорожками и местами отдыха, в районе Очаково-Матвеевское престижного западного направления Москвы, вблизи
Показать телефон
В избранное
22 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"56,9 м², 2-комнатная квартира
9 этаж из 17
Онежская улица, 51к1
Водный стадион 
15 мин.
14 000 000 ₽
246 046 ₽ за м²
ВНИМАНИЕ, ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ДРУЖНОЙ СЕМЬИ! Продается отличная 2комнатная квартира, расположенная зелёном и тихом районе Москвы. Квартира оптимальной планировки. Просторная комната, где Вы можете реализовать смелые дизайнерские решения. Уютная
Показать телефон
В избранное
35 минут назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"46 м², 2-комнатная квартира
3 этаж из 5
улица Космонавтов, 28
ВДНХ 
18 мин.
6 450 000 ₽
140 217 ₽ за м²
На проверке в Росреестре
Отличное предложение для Вас! Продается квартира на 3 этаже 5 этажного дома. В 15 минутах на маршрутке до метро Котельники. В квартире качественный свежий ремонт - заселяйся и живи. Новая проводка, полы стяжка-ламинат, совмещенный санузел также с
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"55 м², 2-комнатная квартира
новостройка, ЖК Hide 2023 г., 5 этаж из 41
1-й Сетуньский проезд, вл8
Лужники 
18 мин.
24 805 000 ₽
451 000 ₽ за м²
Прямая продажа от застройщика! Продаётся 2-к квартира 55 кв.м. с предчистовой отделкой в ЖК «Hide» на 5-м этаже 41 этажного дома. Новый архитектурный акцент города комплекс Hide от MR Group. Уникальные корпуса с выдающейся архитектурой и
Показать телефон
В избранное
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"65,8 м², 2-комнатная квартира
новостройка, ЖК «MOD» 4 кв. 2024 г., 9 этаж из 55
СВАО, район Марьина Роща, жилой комплекс Мод
Марьина роща 
7 мин.
23 695 200 ₽
360 000 ₽ за м²
Прямая продажа жилого комплекса премиум-класса от застройщика! 2-к квартира 65.82 кв.м. в ЖК Mod на 9-м этаже 55 этажного дома. Mod - жилой комплекс премиум-класса в историческом районе Москвы Марьина Роща, состоящий из двух клубных домов (9 этажей)
Показать телефон
В избранное
6 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"65,2 м², 2-комнатные апартаменты
новостройка, Апарт-комплекс «Level Стрешнево» 2022 г., 2 этаж из 25
Волоколамское ш., 81
Тушинская 
13 мин.
15 892 830 ₽
243 755 ₽ за м²
ипотека
Условный номер 2-6. На живописной стрелке Москвы-реки и Сходни продаются 3-к апартаменты без отделки площадью 65,2 кв. м. на 2 этаже 25 этажного корпуса «Юг» апартаментного комплекса бизнес-класса Level Стрешнево от компании Level Group. Отличная
Показать телефон
В избранное
5 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"101,8 м², 2-комнатные апартаменты
МФК «Башня Федерация», 81 этаж
Пресненская набережная, 12
Деловой центр 
1 мин.
62 505 200 ₽
614 000 ₽ за м²
Бизнес-центр «Башня Федерация» класса A Продажа помещения площадью 101,8 кв.м Cтоимость кв. метра 614 000 руб., возможен торг Бизнес-центр «Башня Федерация» расположен по адресу: Пресненская набережная, 12, Москва. До станции метро Деловой центр
Показать телефон
В избранное
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"63,7 м², 2-комнатная квартира
ЖК «Настроение», 6 этаж из 22
улица Красная Сосна, 3к2
Ботанический сад 
19 мин.
18 590 844 ₽
291 850 ₽ за м²
Готовы показать онлайн
Корпус сдан! Прямая продажа от застройщика! Продаётся 2-к квартира в сданном корпусе общей площадью 63.7 кв.м. на 6-м этаже 22 этажного дома. Жилой комплекс «Настроение» это уникальная возможность дышать свежим воздухом, не выезжая из города,
Показать телефон
В избранное
ГК ФСК
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"77,3 м², 2-комнатная квартира
новостройка, ЖК RiverSky 2022 г., 24 этаж из 26
Восточная улица, 4Ак6
Автозаводская 
10 мин.
34 059 276 ₽
440 726 ₽ за м²
ипотека
Продается двухкомнатная квартира (№346Д) в новостройке RiverSky по адресу Москва, ул. Восточная, д.4, к.1. Общая площадь квартиры - 77.28 кв.м. Тип проекта, по которому построен дом - монолит. Способы оплаты можно уточнить у продавца. Более подробная
Показать телефон
В избранное
INGRAD
5 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"48,7 м², 2-комнатная квартира
новостройка, ЖК Hide 2023 г., 35 этаж из 41
1-й Сетуньский проезд, вл8
Лужники 
18 мин.
25 811 000 ₽
530 000 ₽ за м²
Прямая продажа от застройщика! Продаётся 2-к квартира 48.7 кв.м. с предчистовой отделкой в ЖК «Hide» на 35-м этаже 41 этажного дома. Новый архитектурный акцент города комплекс Hide от MR Group. Уникальные корпуса с выдающейся архитектурой и
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"54 м², 2-комнатная квартира
новостройка, ЖК Russian Design District 2022 г., 10 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 4А
Ольховая 
32 мин.
11 054 000 ₽
204 704 ₽ за м²
О жилом комплексе. Культурно-образовательный кластер Russian Design District проект девелоперской компании Группа Родина. Строится как центр притяжения Новой Москвы. В жилом кластере созданы все условия для получения всестороннего образования,
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"68 м², 2-комнатная квартира
ЖК «Резиденция Монэ», 15 этаж из 18
2-я Звенигородская улица, 11
Улица 1905 года 
11 мин.
55 000 000 ₽
808 824 ₽ за м²
ID 63103. К продаже предлагается роскошная видовая квартира с дизайнерской отделкой в ЖК премиум-класса. Общая площадь квартиры составляет 68м2, функционал предполагает наличие кухни-гостиной, спальни со своим санузлом, гостевого санузла, гардеробной
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"40,5 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 10 этаж из 15
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига
Коммунарка 
12 мин.
8 879 108 ₽
219 237 ₽ за м²
ипотека
Артикул в базе застройщика 23К-23.2-205. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., Скандинавский бульвар, д. 2 - 6, район Скандинавия, корп. 8, 13 -
Показать телефон
В избранное
ГК «А101»
5 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"62,1 м², 2-комнатная квартира
новостройка, Жилой район «Испанские кварталы» 2023 г., 14 этаж из 15
поселение Сосенское, жилой комплекс Испанские Кварталы 2», к. 5/5
Прокшино 
13 мин.
13 573 889 ₽
218 581 ₽ за м²
ипотека
Артикул в базе застройщика 10К-5.5-596. Продается двухкомнатная квартира в новостройке Жилой район «Испанские кварталы» по адресу Москва, Новомосковский АО, Сосенское С/П, Жилой район «Испанские кварталы», корп. 5.5 (ИК-2). Общая площадь квартиры
Показать телефон
В избранное
ГК «А101»
6 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"43 м², 2-комнатная квартира
новостройка, Жилой квартал «LIFE-Варшавская» 2024 г., 10 этаж из 10
Каширский проезд, 25к1
Варшавская 
4 мин.
11 105 999 ₽
258 219 ₽ за м²
Smart-квартал будущего LIFE-Варшавская расположен в 20 минутах от центра Москвы: вблизи станций метро Варшавская и Каширская, в пешей доступности от ЖД станции «Коломенское». LIFE-Варшавская это экологичность и энергоэффективность: o Жилой квартал
Показать телефон
В избранное
ГК «Пионер»
5 часов назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"82 м², 2-комнатная квартира
2 этаж из 5
Гоголевский бульвар, 25с1
Арбатская 
7 мин.
69 900 000 ₽
852 439 ₽ за м²
Лот 62782. Современная 2-комнатная квартира на Гоголевском бульваре. Планировкой предусмотрены кухня, гостиная, спальня, 1 ванная комната. Ремонт выполнен по проекту известного дизайнера, который входит в топ 100 лучших дизайнеров в России. Это некий
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
2 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"57,8 м², 2-комнатная квартира
3 этаж из 10
Киевская улица, 20
Студенческая 
2 мин.
18 500 000 ₽
320 069 ₽ за м²
Хорошая цена!
ID 63170. Двухкомнатная линейная квартира под ремонт площадью 57.8 кв м в районе Дорогомилово. Планировка включает в себя гостиную, кухню, спальню и ванную комнату. Во дворе находится школа, неподалеку множество магазинов, детский сад. Ближайшие
Показать телефон
В избранное
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"56,7 м², 2-комнатная квартира
новостройка, ЖК Hide 2023 г., 33 этаж из 41
1-й Сетуньский проезд, вл8
Лужники 
18 мин.
31 241 700 ₽
551 000 ₽ за м²
Прямая продажа от застройщика! Продаётся 2-к квартира 56.7 кв.м. с предчистовой отделкой в ЖК «Hide» на 33-м этаже 41 этажного дома. Новый архитектурный акцент города комплекс Hide от MR Group. Уникальные корпуса с выдающейся архитектурой и
Показать телефон
В избранное
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"55 м², 2-комнатная квартира
1 этаж из 6
Большой Козихинский переулок, 17с2
Пушкинская 
9 мин.
43 700 000 ₽
794 545 ₽ за м²
Объект № 698233 Предлагается в продажу квартира в историческом доме на Патриарших прудах в стиле Loft. Просторная квартира, современное зонирование и интерьер, продуманное удобное планировочное решение. Новый ремонт, мебель, техника, предметы
Показать телефон
В избранное
3 часа назад"
https://realty.yandex.ru/moskva/kupit/kvartira/dvuhkomnatnaya/,moskva,kvartira,dvuhkomnatnaya,"40,8 м², 2-комнатная квартира
новостройка, ЖК «Level Причальный» 4 кв. 2023 г., 17 этаж из 33
Причальный проезд, 8
Шелепиха 
11 мин.
16 495 277 ₽
404 296 ₽ за м²
ипотека
Условный номер в1-139. На берегу Москвы-реки продается 2-к квартира площадью 40,8 кв.м. на 17 этаже 33 этажного корпуса Bосток жилого комплекса бизнес-класса Level Причальный от компании Level Group. Отличная транспортная доступность. 7 мин. пешком
Показать телефон
В избранное
2 часа назад"
